Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.19,-.24,-.09,-.16,-.10,-.21,-.17,-.10,-.14,-.23,-.21,-.18,-.17,***,***,-.12,-.16,-.19
1881,-.19,-.14,.03,.05,.07,-.19,.00,-.04,-.15,-.22,-.19,-.07,-.09,-.09,-.17,.05,-.07,-.19
1882,.16,.14,.05,-.17,-.14,-.23,-.16,-.07,-.14,-.23,-.16,-.36,-.11,-.08,.08,-.09,-.15,-.18
1883,-.29,-.37,-.12,-.18,-.18,-.07,-.07,-.14,-.22,-.11,-.24,-.11,-.18,-.20,-.34,-.16,-.09,-.19
1884,-.13,-.08,-.36,-.40,-.34,-.35,-.31,-.28,-.27,-.25,-.33,-.31,-.28,-.27,-.11,-.37,-.31,-.28
1885,-.58,-.34,-.27,-.42,-.45,-.44,-.34,-.31,-.28,-.23,-.24,-.11,-.33,-.35,-.41,-.38,-.36,-.25
1886,-.44,-.51,-.43,-.28,-.24,-.34,-.18,-.31,-.24,-.27,-.28,-.25,-.31,-.30,-.35,-.31,-.27,-.26
1887,-.72,-.57,-.36,-.35,-.31,-.25,-.26,-.36,-.25,-.35,-.26,-.33,-.36,-.36,-.51,-.34,-.29,-.29
1888,-.34,-.36,-.41,-.20,-.22,-.17,-.10,-.16,-.12,.02,.03,-.04,-.17,-.20,-.34,-.28,-.14,-.02
1889,-.09,.16,.06,.09,-.01,-.10,-.07,-.20,-.24,-.25,-.33,-.29,-.11,-.08,.01,.05,-.13,-.27
1890,-.42,-.45,-.40,-.30,-.39,-.25,-.28,-.39,-.36,-.25,-.43,-.32,-.35,-.35,-.39,-.36,-.31,-.35
1891,-.34,-.47,-.18,-.27,-.16,-.21,-.17,-.17,-.15,-.21,-.31,-.04,-.22,-.25,-.37,-.21,-.18,-.23
1892,-.28,-.11,-.40,-.33,-.23,-.22,-.31,-.27,-.16,-.14,-.42,-.38,-.27,-.24,-.15,-.32,-.27,-.24
1893,-.80,-.56,-.22,-.27,-.34,-.25,-.14,-.25,-.22,-.18,-.18,-.31,-.31,-.32,-.58,-.28,-.21,-.19
1894,-.52,-.29,-.23,-.44,-.30,-.40,-.24,-.24,-.27,-.23,-.25,-.20,-.30,-.31,-.37,-.33,-.29,-.25
1895,-.40,-.42,-.32,-.21,-.27,-.21,-.16,-.17,-.12,-.10,-.17,-.13,-.22,-.23,-.34,-.27,-.18,-.13
1896,-.22,-.12,-.26,-.30,-.15,-.11,-.02,-.05,-.06,.07,-.04,-.04,-.11,-.12,-.16,-.24,-.06,-.01
1897,-.14,-.16,-.13,-.01,-.01,-.11,-.02,-.09,-.08,-.12,-.17,-.20,-.10,-.09,-.12,-.05,-.07,-.12
1898,-.02,-.30,-.51,-.30,-.30,-.19,-.22,-.26,-.21,-.34,-.38,-.23,-.27,-.27,-.17,-.37,-.22,-.31
1899,-.16,-.38,-.35,-.20,-.22,-.30,-.15,-.08,-.05,-.03,.13,-.26,-.17,-.17,-.25,-.26,-.18,.02
1900,-.35,-.04,.01,-.08,-.08,-.09,-.12,-.08,-.05,.10,-.06,-.06,-.08,-.09,-.22,-.05,-.10,.00
1901,-.21,-.11,.06,-.02,-.14,-.11,-.14,-.20,-.22,-.28,-.16,-.26,-.15,-.13,-.13,-.03,-.15,-.22
1902,-.15,-.08,-.27,-.27,-.32,-.31,-.27,-.30,-.28,-.29,-.36,-.41,-.28,-.26,-.17,-.28,-.29,-.31
