Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.36,-.51,-.24,-.30,-.06,-.17,-.18,-.25,-.22,-.31,-.41,-.40,-.29,***,***,-.20,-.20,-.32
1881,-.31,-.23,-.04,.00,.04,-.34,.08,-.05,-.28,-.45,-.37,-.24,-.18,-.20,-.31,.00,-.10,-.37
1882,.26,.21,.02,-.32,-.25,-.30,-.28,-.14,-.24,-.52,-.32,-.69,-.21,-.18,.08,-.18,-.24,-.36
1883,-.58,-.66,-.16,-.30,-.26,-.11,-.06,-.23,-.34,-.17,-.45,-.15,-.29,-.33,-.64,-.24,-.13,-.32
1884,-.16,-.11,-.65,-.60,-.36,-.42,-.41,-.52,-.45,-.44,-.57,-.47,-.43,-.40,-.14,-.54,-.45,-.49
1885,-1.00,-.46,-.25,-.49,-.58,-.45,-.34,-.41,-.40,-.37,-.38,-.12,-.44,-.47,-.64,-.44,-.40,-.38
1886,-.75,-.84,-.71,-.37,-.33,-.37,-.14,-.43,-.33,-.31,-.40,-.22,-.43,-.42,-.57,-.47,-.31,-.35
1887,-1.08,-.71,-.44,-.39,-.26,-.21,-.24,-.55,-.21,-.49,-.27,-.43,-.44,-.42,-.67,-.36,-.33,-.32
1888,-.48,-.62,-.64,-.22,-.15,-.03,.00,-.22,-.20,-.04,-.01,-.23,-.24,-.25,-.51,-.34,-.08,-.08
1889,-.28,.28,-.02,.16,-.04,-.07,-.08,-.21,-.30,-.41,-.62,-.55,-.18,-.15,-.08,.03,-.12,-.45
1890,-.64,-.58,-.48,-.25,-.36,-.16,-.23,-.39,-.36,-.10,-.63,-.48,-.39,-.40,-.59,-.37,-.26,-.36
1891,-.47,-.69,-.17,-.36,-.16,-.13,-.11,-.12,-.08,-.28,-.52,-.04,-.26,-.30,-.54,-.23,-.12,-.29
1892,-.48,-.17,-.66,-.45,-.24,-.06,-.37,-.33,-.20,-.27,-.83,-.66,-.39,-.34,-.23,-.45,-.25,-.43
1893,-1.50,-.95,-.33,-.30,-.43,-.18,-.14,-.33,-.29,-.28,-.33,-.60,-.47,-.48,-1.03,-.35,-.22,-.30
1894,-.91,-.42,-.21,-.53,-.26,-.40,-.21,-.27,-.32,-.27,-.48,-.34,-.39,-.41,-.64,-.34,-.29,-.36
1895,-.69,-.80,-.49,-.18,-.29,-.20,-.18,-.27,-.05,-.09,-.12,-.22,-.30,-.31,-.61,-.32,-.22,-.09
1896,-.35,-.18,-.49,-.60,-.16,.08,.01,-.10,-.12,.06,-.20,-.20,-.19,-.19,-.25,-.42,-.01,-.09
1897,-.39,-.41,-.40,-.04,.14,-.06,.04,-.06,-.06,-.14,-.25,-.28,-.16,-.15,-.33,-.10,-.02,-.15
1898,.05,-.45,-.80,-.28,-.27,-.08,-.12,-.17,-.17,-.36,-.50,-.26,-.28,-.29,-.22,-.45,-.12,-.35
1899,-.11,-.63,-.58,-.22,-.23,-.34,-.15,-.06,-.04,.05,.37,-.46,-.20,-.18,-.34,-.34,-.18,.12
1900,-.60,-.12,.06,-.09,-.02,-.09,-.10,-.07,-.03,.23,-.12,-.03,-.08,-.12,-.40,-.01,-.09,.03
1901,-.33,-.10,.27,.11,-.10,.02,.02,-.15,-.27,-.31,-.19,-.39,-.12,-.09,-.15,.09,-.04,-.26
1902,-.12,-.03,-.37,-.37,-.39,-.39,-.32,-.28,-.33,-.32,-.46,-.59,-.33,-.31,-.18,-.37,-.33,-.37
1903,-.22,.12,-.16,-.46,-.43,-.45,-.42,-.55,-.49,-.46,-.40,-.56,-.37,-.38,-.23,-.35,-.47,-.45
1904,-.75,-.62,-.45,-.50,-.44,-.48,-.59,-.54,-.63,-.39,-.08,-.34,-.48,-.50,-.64,-.46,-.54,-.37
1905,-.41,-.82,-.23,-.45,-.29,-.28,-.21,-.23,-.19,-.27,.09,-.17,-.29,-.30,-.52,-.32,-.24,-.12
1906,-.56,-.53,-.21,.04,-.25,-.11,-.26,-.17,-.24,-.17,-.40,.03,-.23,-.25,-.42,-.14,-.18,-.27
1907,-.58,-.73,-.31,-.45,-.58,-.51,-.40,-.38,-.40,-.19,-.55,-.57,-.47,-.42,-.43,-.45,-.43,-.38
1908,-.54,-.27,-.70,-.48,-.30,-.30,-.35,-.57,-.31,-.45,-.63,-.55,-.45,-.46,-.46,-.49,-.41,-.46
1909,-.93,-.46,-.67,-.66,-.49,-.52,-.44,-.35,-.37,-.33,-.11,-.58,-.49,-.49,-.65,-.61,-.44,-.27
