Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.00,.03,.06,-.02,-.13,-.25,-.17,.06,-.05,-.15,.00,.05,-.05,***,***,-.03,-.12,-.06
1881,-.09,-.06,.09,.10,.09,-.05,-.08,-.03,-.04,.00,.00,.09,.00,.00,-.03,.09,-.05,-.02
1882,.07,.07,.07,-.02,-.04,-.15,-.04,.01,-.04,.04,-.01,-.07,-.01,.00,.08,.01,-.06,.00
1883,-.02,-.08,-.09,-.07,-.10,-.02,-.08,-.05,-.10,-.06,-.04,-.06,-.06,-.07,-.06,-.09,-.05,-.07
1884,-.09,-.06,-.10,-.21,-.32,-.29,-.22,-.07,-.11,-.06,-.10,-.15,-.15,-.14,-.07,-.21,-.19,-.09
1885,-.20,-.23,-.30,-.36,-.33,-.42,-.33,-.23,-.19,-.13,-.11,-.09,-.24,-.25,-.19,-.33,-.33,-.14
1886,-.14,-.20,-.17,-.20,-.15,-.32,-.21,-.19,-.14,-.24,-.15,-.29,-.20,-.18,-.15,-.17,-.24,-.18
1887,-.37,-.44,-.27,-.31,-.35,-.28,-.27,-.17,-.29,-.22,-.25,-.23,-.29,-.29,-.36,-.31,-.24,-.25
1888,-.20,-.13,-.21,-.19,-.29,-.31,-.20,-.10,-.04,.06,.07,.15,-.12,-.15,-.19,-.23,-.20,.03
1889,.08,.03,.13,.03,.02,-.13,-.07,-.20,-.17,-.10,-.06,-.04,-.04,-.02,.09,.06,-.13,-.11
1890,-.21,-.32,-.33,-.34,-.43,-.33,-.32,-.39,-.37,-.39,-.25,-.16,-.32,-.31,-.19,-.37,-.35,-.34
1891,-.21,-.25,-.20,-.19,-.17,-.28,-.23,-.22,-.23,-.16,-.10,-.05,-.19,-.20,-.21,-.19,-.24,-.16
1892,-.09,-.05,-.14,-.21,-.23,-.38,-.25,-.21,-.13,.00,-.03,-.11,-.15,-.15,-.06,-.19,-.28,-.05
1893,-.12,-.17,-.12,-.24,-.24,-.32,-.14,-.17,-.16,-.08,-.03,-.02,-.15,-.16,-.14,-.20,-.21,-.09
1894,-.14,-.16,-.24,-.35,-.35,-.40,-.26,-.21,-.22,-.17,-.03,-.06,-.22,-.21,-.11,-.31,-.29,-.14
1895,-.13,-.06,-.16,-.24,-.24,-.21,-.14,-.06,-.17,-.11,-.20,-.05,-.15,-.15,-.08,-.21,-.14,-.16
1896,-.08,-.07,-.03,-.01,-.15,-.29,-.04,.01,-.01,.09,.12,.13,-.03,-.04,-.07,-.06,-.11,.07
1897,.10,.08,.12,.01,-.15,-.15,-.07,-.11,-.09,-.09,-.09,-.12,-.05,-.03,.10,-.01,-.11,-.09
1898,-.09,-.15,-.22,-.33,-.33,-.29,-.32,-.36,-.24,-.31,-.25,-.20,-.26,-.25,-.12,-.29,-.32,-.27
1899,-.19,-.12,-.13,-.17,-.21,-.26,-.15,-.10,-.04,-.11,-.09,-.05,-.14,-.15,-.17,-.17,-.17,-.08
1900,-.10,.03,-.04,-.07,-.13,-.08,-.12,-.07,-.05,-.01,.01,-.09,-.06,-.06,-.04,-.08,-.09,-.02
1901,-.10,-.12,-.14,-.14,-.18,-.24,-.28,-.24,-.16,-.25,-.12,-.14,-.18,-.17,-.10,-.15,-.25,-.18
1902,-.18,-.14,-.17,-.17,-.24,-.21,-.21,-.30,-.23,-.26,-.25,-.22,-.22,-.21,-.15,-.19,-.24,-.25
1903,-.24,-.22,-.30,-.35,-.36,-.39,-.27,-.35,-.50,-.47,-.43,-.46,-.36,-.34,-.23,-.34,-.34,-.47
1904,-.51,-.56,-.56,-.50,-.59,-.48,-.42,-.43,-.47,-.38,-.25,-.31,-.45,-.47,-.51,-.55,-.44,-.37
1905,-.27,-.35,-.19,-.20,-.28,-.26,-.29,-.16,-.16,-.20,-.20,-.07,-.22,-.24,-.31,-.23,-.24,-.19
1906,.02,-.04,-.16,-.14,-.26,-.27,-.18,-.23,-.31,-.22,-.34,-.33,-.21,-.18,-.03,-.19,-.22,-.29
1907,-.27,-.29,-.24,-.28,-.34,-.32,-.29,-.28,-.27,-.25,-.36,-.35,-.29,-.29,-.30,-.29,-.30,-.29
1908,-.34,-.38,-.39,-.40,-.46,-.46,-.34,-.35,-.40,-.43,-.41,-.43,-.40,-.39,-.36,-.42,-.39,-.41
1909,-.50,-.46,-.41,-.52,-.59,-.51,-.45,-.32,-.40,-.45,-.52,-.55,-.47,-.46,-.46,-.51,-.43,-.46
1910,-.50,-.45,-.52,-.44,-.38,-.32,-.30,-.33,-.34,-.50,-.53,-.53,-.43,-.43,-.50,-.45,-.32,-.46
1911,-.53,-.56,-.58,-.61,-.58,-.66,-.46,-.44,-.43,-.33,-.22,-.11,-.46,-.50,-.54,-.59,-.52,-.33
1912,-.17,-.13,-.16,-.19,-.28,-.33,-.31,-.31,-.33,-.30,-.26,-.29,-.25,-.24,-.14,-.21,-.31,-.30
1913,-.24,-.24,-.37,-.28,-.32,-.39,-.19,-.20,-.25,-.23,-.23,-.14,-.26,-.27,-.25,-.32,-.26,-.24
1914,-.07,-.08,-.11,-.19,-.22,-.27,-.12,-.04,-.02,-.04,-.07,-.01,-.10,-.11,-.10,-.17,-.14,-.04
1915,-.13,.03,.05,.07,-.09,-.29,-.13,-.27,-.18,-.20,-.22,-.17,-.13,-.11,-.03,.01,-.23,-.20
1916,-.15,-.12,-.17,-.26,-.33,-.47,-.40,-.20,-.23,-.33,-.48,-.51,-.30,-.28,-.15,-.25,-.36,-.34
1917,-.63,-.58,-.53,-.46,-.38,-.39,-.18,-.06,-.15,-.26,-.36,-.29,-.36,-.38,-.58,-.46,-.21,-.26
1918,-.27,-.23,-.25,-.30,-.37,-.28,-.28,-.26,-.08,-.05,.02,.00,-.20,-.22,-.26,-.31,-.27,-.04
1919,.00,-.05,-.02,-.01,-.13,-.31,-.24,-.37,-.30,-.30,-.34,-.28,-.20,-.17,-.02,-.05,-.31,-.32
1920,-.33,-.23,-.24,-.27,-.32,-.44,-.34,-.20,-.07,-.12,-.08,-.20,-.24,-.24,-.28,-.28,-.33,-.09
1921,-.28,-.27,-.36,-.43,-.35,-.38,-.25,-.22,-.18,-.04,-.17,-.21,-.26,-.26,-.25,-.38,-.28,-.13
1922,-.27,-.25,-.18,-.30,-.47,-.45,-.27,-.29,-.28,-.33,-.17,-.24,-.29,-.29,-.25,-.32,-.34,-.26
1923,-.37,-.31,-.29,-.28,-.28,-.34,-.32,-.38,-.43,-.31,-.19,-.17,-.30,-.31,-.31,-.28,-.35,-.31
1924,-.16,-.24,-.18,-.33,-.30,-.32,-.34,-.46,-.41,-.46,-.52,-.50,-.35,-.32,-.19,-.27,-.38,-.47
1925,-.50,-.42,-.32,-.35,-.36,-.38,-.26,-.20,-.33,-.24,-.11,-.08,-.30,-.33,-.48,-.34,-.28,-.22
1926,-.11,-.11,-.14,-.11,-.22,-.29,-.33,-.19,-.23,-.27,-.28,-.28,-.21,-.20,-.10,-.15,-.27,-.26
1927,-.25,-.27,-.29,-.34,-.37,-.40,-.29,-.31,-.27,-.24,-.19,-.26,-.29,-.29,-.27,-.34,-.33,-.23
1928,-.29,-.26,-.26,-.23,-.42,-.44,-.28,-.26,-.26,-.29,-.23,-.29,-.29,-.29,-.27,-.30,-.32,-.26
1929,-.33,-.36,-.46,-.47,-.48,-.47,-.37,-.44,-.29,-.26,-.19,-.41,-.38,-.37,-.33,-.47,-.43,-.25
1930,-.47,-.34,-.33,-.33,-.28,-.31,-.36,-.29,-.26,-.23,-.07,-.17,-.29,-.31,-.41,-.31,-.32,-.19
1931,-.18,-.15,-.12,-.23,-.23,-.28,-.13,-.16,-.28,-.24,-.36,-.19,-.21,-.21,-.17,-.19,-.19,-.30
1932,-.09,-.15,-.15,-.20,-.24,-.41,-.33,-.35,-.29,-.30,-.21,-.30,-.25,-.24,-.14,-.20,-.36,-.27
1933,-.27,-.27,-.27,-.31,-.32,-.36,-.29,-.33,-.30,-.32,-.37,-.35,-.31,-.31,-.28,-.30,-.33,-.33
1934,-.29,-.39,-.32,-.32,-.27,-.27,-.16,-.14,-.16,-.25,-.20,-.22,-.25,-.26,-.34,-.30,-.19,-.20
1935,-.26,-.29,-.31,-.38,-.29,-.38,-.38,-.37,-.34,-.21,-.18,-.16,-.30,-.30,-.26,-.33,-.37,-.25
1936,-.25,-.24,-.28,-.33,-.31,-.47,-.28,-.29,-.24,-.12,-.12,-.17,-.26,-.26,-.22,-.31,-.35,-.16
1937,-.23,-.18,-.17,-.24,-.23,-.24,-.21,-.12,-.09,-.15,-.07,-.14,-.17,-.18,-.19,-.21,-.19,-.11
1938,-.19,-.21,-.15,-.19,-.22,-.28,-.18,-.21,-.15,-.04,-.17,-.13,-.18,-.18,-.18,-.19,-.22,-.12
1939,-.14,-.13,-.11,-.12,-.10,-.14,-.15,-.19,-.26,-.15,-.10,.10,-.12,-.14,-.13,-.11,-.16,-.17
1940,.11,.04,.16,.08,.07,.07,.10,.09,.07,-.03,.06,.29,.09,.08,.08,.10,.09,.03
1941,.20,.17,.10,.22,.13,.08,.21,.13,-.03,.22,.29,.26,.17,.17,.22,.15,.14,.16
1942,.19,.14,.12,.10,.06,.00,.01,.00,-.16,-.25,-.09,-.04,.01,.03,.20,.09,.00,-.17
1943,.07,-.05,-.08,-.11,-.11,-.05,.18,-.09,-.03,.00,.03,.08,-.01,-.02,-.01,-.10,.01,.00
1944,.08,.05,.21,.21,.14,.16,.23,.21,.21,.09,.03,.09,.14,.14,.07,.19,.20,.11
1945,.10,.08,.03,.10,.04,-.05,.02,.24,.22,.13,.07,.08,.09,.09,.09,.05,.07,.14
1946,-.03,-.02,-.08,-.20,-.17,-.37,-.21,-.31,-.12,-.18,-.18,-.15,-.17,-.15,.01,-.15,-.30,-.16
1947,-.08,-.12,-.16,-.10,-.09,-.03,-.06,-.10,-.24,-.26,-.15,-.22,-.13,-.13,-.11,-.12,-.06,-.22
1948,-.18,-.14,-.21,-.20,-.18,-.15,-.23,-.26,-.26,-.18,-.28,-.08,-.20,-.21,-.18,-.20,-.22,-.24
1949,-.10,-.19,-.08,-.19,-.20,-.34,-.15,-.21,-.19,-.20,-.25,-.22,-.19,-.18,-.12,-.16,-.24,-.21
1950,-.23,-.27,-.22,-.21,-.19,-.05,-.01,-.13,-.15,-.35,-.35,-.32,-.21,-.20,-.24,-.20,-.06,-.29
1951,-.33,-.32,-.22,-.35,-.18,-.11,-.09,-.11,-.21,-.11,-.08,-.06,-.18,-.20,-.33,-.25,-.10,-.13
1952,.07,.06,.07,-.10,-.20,-.22,-.05,.02,.00,.01,-.05,-.03,-.04,-.04,.03,-.08,-.08,-.01
1953,-.08,-.07,-.03,-.01,-.01,-.01,-.19,-.07,-.08,-.10,-.13,-.12,-.07,-.07,-.06,-.02,-.09,-.10
1954,-.23,-.19,-.13,-.27,-.33,-.34,-.29,-.34,-.28,-.18,-.20,-.27,-.25,-.24,-.18,-.24,-.32,-.22
1955,-.17,-.20,-.22,-.21,-.29,-.19,-.19,-.06,-.21,-.24,-.19,-.29,-.20,-.20,-.21,-.24,-.15,-.22
1956,-.22,-.17,-.19,-.29,-.29,-.13,.00,-.24,-.08,-.19,-.05,-.03,-.16,-.18,-.23,-.26,-.12,-.11
1957,-.04,-.02,.00,.09,.23,.19,-.06,.14,.05,-.03,.04,.06,.06,.05,-.03,.11,.09,.02
1958,.10,.17,.02,.02,.00,-.20,.06,-.21,-.11,.01,.02,-.15,-.02,-.01,.11,.01,-.12,-.03
1959,-.08,-.02,.03,.09,.05,-.07,.02,-.11,-.25,-.10,-.18,-.10,-.06,-.06,-.08,.06,-.05,-.17
1960,-.15,-.15,-.29,-.17,-.19,-.25,-.16,-.06,.02,.06,-.14,-.02,-.12,-.13,-.14,-.21,-.16,-.02
1961,-.03,.08,-.03,.12,.18,.05,-.04,-.03,.19,.04,-.01,-.15,.03,.04,.01,.09,-.01,.07
