Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.29,-.05,-.39,-.12,-.01,-.82,-.52,-.28,-.13,-.11,-.04,.05,.67
1881,-.09,-.18,.00,-.36,.11,-.07,-.94,-.50,-.19,.12,.10,-.05,-.07,.60
1882,-.11,-.21,-.01,-.33,-.04,.01,-1.43,-.31,-.15,-.03,-.05,.01,.04,.63
1883,-.18,-.29,-.06,-.36,-.16,-.01,-.19,-.59,-.27,-.16,-.15,-.04,.07,.50
1884,-.28,-.43,-.15,-.62,-.14,-.14,-1.31,-.67,-.48,-.11,-.16,-.19,-.02,.65
1885,-.33,-.44,-.24,-.67,-.13,-.27,-1.51,-.71,-.47,-.05,-.20,-.33,-.15,.82
1886,-.31,-.43,-.20,-.58,-.19,-.21,-1.59,-.52,-.41,-.20,-.18,-.20,-.20,.59
1887,-.36,-.44,-.29,-.54,-.29,-.28,-1.77,-.53,-.30,-.28,-.30,-.28,-.26,.32
1888,-.17,-.24,-.12,-.43,.11,-.29,-1.31,-.45,-.25,.08,.13,-.31,-.23,.16
1889,-.11,-.18,-.04,-.31,.09,-.16,-.68,-.24,-.28,.03,.15,-.15,-.15,.45
1890,-.35,-.39,-.32,-.47,-.36,-.22,-1.14,-.59,-.28,-.25,-.47,-.17,-.27,.15
1891,-.22,-.26,-.19,-.44,-.07,-.21,-1.12,-.36,-.37,.02,-.16,-.18,-.24,-.15
1892,-.27,-.39,-.15,-.45,-.28,-.08,-1.16,-.69,-.18,-.30,-.26,.02,-.21,.09
1893,-.31,-.47,-.15,-.52,-.35,-.05,-.67,-.57,-.48,-.39,-.31,.07,-.20,-.04
1894,-.30,-.39,-.22,-.34,-.32,-.24,-.96,-.35,-.20,-.45,-.18,-.14,-.35,-.37
1895,-.22,-.30,-.15,-.41,-.06,-.26,-.68,-.55,-.28,-.12,.00,-.19,-.32,-.58
1896,-.11,-.19,-.03,-.36,.11,-.15,-.88,-.39,-.23,.08,.14,-.15,-.13,.26
